Quality Supplement Mfg,,,,,,,,,,
Inventory Availability,,,,,,,,,,
  ,,,,,,,,,,
Part,Description,UOM,"On
Hand",Allocated,"Not
Available","Drop
Ship",Available,"On
Order",Committed,Short
CS#5240,K2 MK-7 1%,kg,38.244,29.33,0.00,0.00,8.914,0.00,29.32,0.00
CS#5241,Beta-Alanine,kg,200.00,183.36,0.00,0.00,16.64,0.00,183.35,0.00
CS#5242,L-Arginine AKG,kg,925.00,916.80,0.00,0.00,8.20,0.00,916.65,0.00
CS#5243,L-Arginine Base,kg,961.75,961.92,0.00,0.00,0.00,0.00,961.75,0.17
CS#5244,L-Citrulline,kg,520.00,458.40,0.00,0.00,61.60,0.00,458.35,0.00
CS#5245,L-Citrulline Malate 2:1,kg,475.00,458.40,0.00,0.00,16.60,0.00,458.35,0.00
CS#5246,Niacin,kg,75.00,68.76,0.00,0.00,6.24,0.00,68.76,0.00
CS#5247,Hydrolyzed Bovine Collagen (Peptan),kg,29.87,10.00,0.00,0.00,19.87,0.00,14.87,0.00
CS#5248,Epimedium Extract 10% Icariins UV (Horny Goat Weed),kg,"2,275.00","2,256.00",0.00,0.00,19.00,0.00,"2,255.55",0.00
CS#5249,Maca Root Extract 4:1,kg,140.95,141.00,0.00,0.00,0.00,0.00,140.95,0.05
CS#5250,Mucuna Extract 15% L-dopa,kg,67.65,67.68,0.00,0.00,0.00,0.00,67.65,0.03
CS#5251,Polypodium Vulgare Extract 20:1,kg,2.25,2.256,0.00,0.00,0.00,0.00,2.25,0.006
CS#5252,Longjack Root (Tongkat Ali) Extract 100:1,kg,2.25,2.256,0.00,0.00,0.00,0.00,2.25,0.006
CS#5253,Saw Palmetto Powder,kg,22.55,22.56,0.00,0.00,0.00,0.00,22.55,0.01
CS#5254,Muira Puama Root Powder,kg,45.10,45.12,0.00,0.00,0.00,0.00,45.10,0.02
CS#5255,Panax Ginseng Powder,kg,45.10,45.12,0.00,0.00,0.00,0.00,45.10,0.02
CS#5256,Resveratrol 10%,kg,0.00,700.00,0.00,0.00,0.00,0.00,0.00,700.00
CS#5257,Resveratrol 50%,kg,0.00,500.00,0.00,0.00,0.00,0.00,0.00,500.00
CS#5258,MCC Microcrystalline Cellulose,kg,0.00,36.00,0.00,0.00,0.00,0.00,0.00,36.00
CS#5259,Beef Liver,kg,35.87,36.20,0.00,0.00,0.00,0.00,0.00,0.33
CS#5260,Beef Heart,kg,35.87,36.20,0.00,0.00,0.00,0.00,0.00,0.33
CS#5261,Beef Kidney,kg,23.74,24.13092,0.00,0.00,0.00,0.00,0.00,0.39092
CS#5262,Beef Adrenal,kg,11.87,12.06908,0.00,0.00,0.00,0.00,0.00,0.19908
CS#5263,Beef Brain,kg,0.00,36.20,0.00,0.00,0.00,0.00,0.00,36.20
CS#5264,Beef Lung,kg,35.87,36.20,0.00,0.00,0.00,0.00,0.00,0.33
CS#5265,Beef Intestine,kg,0.00,18.10,0.00,0.00,0.00,0.00,0.00,18.10
CS#5266,Beef Stomach,kg,0.00,18.10,0.00,0.00,0.00,0.00,0.00,18.10
CS#5267,Beef Pancreas,kg,35.87,36.20,0.00,0.00,0.00,0.00,0.00,0.33
CS#5268,Beef Spleen,kg,35.87,36.20,0.00,0.00,0.00,0.00,0.00,0.33
CS#5269,Beef Bone (MCHA),kg,11.87,12.06908,0.00,0.00,0.00,0.00,0.00,0.19908
CS#5270,Beef Marrow,kg,0.00,12.06908,0.00,0.00,0.00,0.00,0.00,12.06908
CS#5271,Beef Cartilage,kg,11.87,12.06908,0.00,0.00,0.00,0.00,0.00,0.19908
CS#5272,Beef Eye,kg,0.00,12.06908,0.00,0.00,0.00,0.00,0.00,12.06908
CS#5273,Beef Blood,kg,11.87,12.06908,0.00,0.00,0.00,0.00,0.00,0.19908
CS#5274,Beef Thymus,kg,13.00,12.06908,0.00,0.00,0.93092,0.00,0.00,0.00
